,highly_variable,means,dispersions,dispersions_norm
NXPH2,True,0.2778331232739165,1.4486959181542574,1.8958338
KYNU,True,0.07551783735881448,2.137683874098042,3.551942
ARHGAP15,True,0.48124534513615,2.7348290070277663,5.1404195
TNFAIP6,True,0.029320766110940588,1.2553316397463732,1.4310476
ERMN,True,0.3692506409821921,1.9688737938898215,3.2222893
CYTIP,True,0.022182174856755443,1.6455013913403467,2.3688917
TANC1,True,0.5313937340461097,1.506923848272549,2.0654593
LY75,True,0.03244352044011306,1.224783301754061,1.357619
FIGN,True,0.9085721630558333,1.5507370249729595,1.2826355
COBLL1,True,0.4235907777274681,1.7333252138067134,2.632421
SLC38A11,True,0.45873559687252047,1.1611051498059322,1.1994487
SCN1A-AS1,True,0.8166014592915443,1.43676938067052,1.460298
NOSTRIN,True,0.029753727190531053,1.7905453331770862,2.7175312
DHRS9,True,0.011667764008526298,1.5116529495599096,2.0471625
LRP2,True,0.4196807744259528,2.123047895150189,3.6083772
GAD1,True,0.6499406319711155,1.3635798990040655,1.3021523
CYBRD1,True,0.17756179692191335,1.2878140239493054,1.5091249
ITGA6,True,0.21432057867823948,1.3700827748064153,1.7068728
WIPF1,True,0.4460222455438451,1.6802351856959132,2.4994712
HOXD1,True,0.006834094537459814,1.2187229613782158,1.3430519
TTN,True,0.3887814299879008,1.4189953207648922,1.8452657
SCHLAP1,True,0.38950794639042813,1.485985577978125,2.0130248
ZNF804A,True,1.304941766415257,2.250978153460461,2.005004
CALCRL,True,0.21264588724631112,1.3086180729190084,1.5591313
TFPI,True,0.026366833448122202,1.891084942012119,2.9591966
COL3A1,True,0.0041437695584883505,1.4605267779422082,1.9242715
COL5A2,True,0.5065117092478707,1.3395326208128417,1.6462727
CAVIN2,True,0.0174165958657499,2.180949616770723,3.655939
DNAH7,True,0.7270578591196702,1.627416389284677,1.8722423
STK17B,True,0.14562849879505224,1.1904513570896167,1.2750959
ANKRD44,True,0.9204177444053603,1.6750478684531616,1.5132247
RFTN2,True,0.6942284127715154,1.9085651720758614,2.4797404
PLCL1,True,1.8597584521931834,2.717027062641988,1.3769536
AOX1,True,0.03803657916806169,1.277081313376877,1.4833269
CFLAR,True,0.40550722864519895,1.2018284223384705,1.3014293
CASP10,True,0.03200309892996782,1.3207591517007047,1.5883145
CTLA4,True,0.0004850368767155717,1.403722830433866,1.7877328
PARD3B,True,0.7991373946503431,2.233236125165971,3.18128
LANCL1-AS1,True,0.2866751558730496,1.42229202728256,1.8535215
ERBB4,True,3.0631923616179573,4.264337216613394,2.0748253
IKZF2,True,0.534291256000261,1.3447344160410724,1.6592991
VWC2L,True,0.6188908880899927,1.3514126916660947,1.2758616
FN1,True,0.18743518734786233,1.4267310474605093,1.8430372
IGFBP5,True,0.22130448223406643,1.5557983399100421,2.153274
TNS1,True,0.23812780986528112,1.2865068080702171,1.5059828
CXCR1,True,0.00021052981118317067,1.7368566768612352,2.5884807
SLC11A1,True,0.17103569364599622,2.4799434485445637,4.374625
CYP27A1,True,0.25294683575353394,1.2835940963359558,1.4989815
DES,True,0.0016692946965981867,2.0874398365262965,3.4311712
KCNE4,True,0.04923602804830602,1.9591665130894405,3.122843
SERPINE2,True,0.5150575921326839,1.2207860252656417,1.3489035
DOCK10,True,1.5334426425115835,2.576596424128334,1.7668116
COL4A4,True,0.05845044003060923,1.2062664362937336,1.3131104
C2orf83,True,0.007347203241127187,2.288889943953694,3.9153934
CCL20,True,0.0012333015333608893,1.5861734800755414,2.2262862
SPHKAP,True,0.4254936608503867,1.5974452347799801,2.2921457
PID1,True,0.9471475414919212,1.5740491939538381,1.3258781
SP110,True,0.15273692483884516,1.375565502030618,1.7200515
SP100,True,0.21452650583324306,2.197654014295726,3.6960912
PTMA,True,1.0629091191759208,1.7774058875182406,1.7030927
EFHD1,True,0.4436854702779324,1.7492885635891162,2.672397
INPP5D,True,0.3149881953405471,2.4995188625720988,4.551148
SH3BP4,True,0.16742363593572246,1.3081387760777108,1.5579791
COL6A3,True,0.01726649426715892,1.5476217961231746,2.1336203
BOK,True,0.16743977798086795,1.3884150353768876,1.7509377
LMCD1-AS1,True,0.9847127582541625,2.0075981028639047,2.1300855
SLC6A1,True,0.9718130147607172,1.6899849554966637,1.540932
GALNT15,True,0.20334023294703577,1.5010785836817424,2.0217452
KCNH8,True,0.9122271316966705,2.5318823215930664,3.1026015
KAT2B,True,0.8683816613703057,1.6677077414138697,1.4996092
SGO1-AS1,True,0.544563888617182,2.3149081212990152,4.08884
ZNF385D,True,1.6781998447844015,3.3117390100484076,2.8361006
ZNF385D-AS2,True,0.05017482419140425,1.2659002290361543,1.456451
LRRC3B,True,0.5001975660054266,1.5025973698252302,2.0546248
EOMES,True,0.0009754110560680268,1.1529924741506723,1.1850567
RBMS3,True,1.7410709081501363,2.5909190803928035,1.2059346
TGFBR2,True,0.19734546862924587,2.1655886848553862,3.6190164
CMTM8,True,0.18316631068906342,1.208793228065626,1.319184
CMTM7,True,0.10435021018519261,1.5676901909020466,2.1818583
SCN10A,True,0.006576576450795005,1.3772737752083508,1.7241577
CX3CR1,True,0.10250032381598555,2.261547560015975,3.849671
MOBP,True,0.9978101763793147,2.847291012186618,3.6876657
CCK,True,0.8972329482709791,2.1220648807590528,2.3424146
HHATL,True,0.26666242797663103,1.348039978762807,1.653889
CCDC13-AS1,True,0.010344827356885643,1.2563740789910764,1.4335532
SLC6A20,True,0.023590976973136488,1.2648969085443516,1.4540395
CXCR6,True,0.0011318594030116146,1.2874250552132855,1.5081899
CCR1,True,0.016905444539674068,1.453202366440934,1.9066659
CCR2,True,0.000626034798872268,1.462720116660635,1.9295436
CCR5AS,True,0.0066794257494127065,1.175732580569123,1.2397166
CCR5,True,0.002301340109240363,1.2902675152248706,1.5150223
LTF,True,0.0030028082892301173,1.9207882611768503,3.0305939
PTH1R,True,0.07532510777825739,1.6132197618769644,2.291297
PLXNB1,True,0.2671796361199766,1.2499373451385314,1.4180814
UBA7,True,0.025945744042189578,1.180995409462046,1.2523669
SEMA3B-AS1,True,0.005310749789163818,1.2074047377298567,1.3158466
SEMA3B,True,0.263299791521532,1.5246615317740246,2.0784311
GPR62,True,0.0465574505180613,1.3386786506411856,1.6313872
SEMA3G,True,0.0023280911058848534,1.5890038595589024,2.2330894
STAB1,True,0.07264156529171346,1.920044734913981,3.0288067
MUSTN1,True,0.022297166433646192,1.4235899974870654,1.8354872
WNT5A,True,0.07942812438467313,1.239985755896111,1.394161
PXK,True,1.090233624264884,2.075663098311219,2.256342
FAM107A,True,0.5088897543256489,1.7486093168224541,2.6706958
SYNPR,True,1.2824372837263809,2.31034455122195,2.1018279
ADAMTS9,True,0.15927477442908722,3.145920802511816,5.9754233
ADAMTS9-AS2,True,1.0942235670165092,2.1886510461034536,2.4659278
LRIG1,True,0.7018293920035941,1.9668275419622532,2.605632
SUCLG2,True,0.34970469839155743,1.5284697264285927,2.119415
SUCLG2-AS1,True,0.35683084069951354,1.297702064651244,1.5415192
TAFA1,True,1.6781827083130472,2.2207194809852275,1.249177
TAFA4,True,0.23711609419931073,1.335461699841376,1.6236547
FRMD4B,True,1.159530097885779,2.6012609971867233,2.5763001
MITF,True,0.564874186400781,1.4618805593282969,1.9526603
SAMMSON,True,0.0681100684461295,2.2125855767285394,3.731982
MDFIC2,True,0.006816944515791252,1.3459713339407835,1.6489166
RYBP,True,0.8450652432159128,1.4886870318075556,1.5724801
ROBO2,True,2.9672966119172295,3.8374492551212787,1.3910323
ROBO1,True,1.9222255086731972,2.6218416831367835,1.2478697
MTRNR2L12,True,0.3776977089955437,1.5679014385042525,2.2181613
CRYBG3,True,0.3884965933196212,1.1738732952108808,1.2314231
CLDND1,True,0.8606391354132319,2.1679502992195787,2.4275293
COL8A1,True,0.044773374179951,1.518290685560051,2.0631175
ABI3BP,True,0.1631502138482013,1.8495782261968394,2.8594275
MORC1,True,0.01799888142578131,1.4902394439047244,1.9956913
CD96,True,0.052878056348767105,1.2138723934759024,1.3313926
PHLDB2,True,0.1405302565149149,1.1846358739748286,1.2611173
GRAMD1C,True,0.4084227069425668,1.4121977557467509,1.828243
ZBTB20,True,2.122933106811981,2.842729857854727,1.2106574
ZBTB20-AS5,True,0.2257124143645295,1.443591457866087,1.8835644
ARHGAP31,True,0.39003486827330025,1.640655513607777,2.4003544
PLA1A,True,0.005165072196729165,1.5220680028899978,2.072197
HCLS1,True,0.13408635295694962,1.920130107046091,3.029012
CD86,True,0.112761107459465,2.0935478594446266,3.445853
PARP9,True,0.11179375561902485,1.2916689551861755,1.5183909
PARP15,True,0.00820000684449125,1.2531108141420588,1.4257094
PARP14,True,0.1600958315321194,1.6710804943727178,2.4303758
ITGB5,True,0.20763895473811503,1.2064491021698096,1.3135495
HEG1,True,0.1826505968455702,1.1652506529389708,1.2145215
ALDH1L1,True,0.32481569730656695,1.827807723030161,2.8690271
GATA2,True,0.0035054027411674633,1.34026678761839,1.6352047
CPNE4,True,1.0201731747182177,1.7725389161871712,1.6940647
ACPP,True,0.021672967666475824,1.3581418077090732,1.6781706
TF,True,1.0628565503674152,2.727161347315294,3.4648323
RBP1,True,0.046068502190783504,1.157716696125135,1.1964122
SLC9A9,True,1.2555872531561691,2.1436218430182783,1.8299104
PLOD2,True,0.43273980018621794,1.266738960946141,1.4639803
PLSCR4,True,0.29545726787390775,1.6538434215540645,2.4333801
PLSCR1,True,0.2486922078609112,1.3292568911829914,1.6087403
ZIC4,True,0.0463534874829169,1.2543145876279362,1.4286029
ZIC1,True,0.22420681841214557,1.6912706045366943,2.4789064
AGTR1,True,0.0017300988135356,1.31078008706138,1.564328
CPB1,True,0.06470773663207281,1.5145290870542614,2.054076
CP,True,0.06834679672663124,2.286355907875707,3.9093022
TM4SF18,True,0.008988526700432172,1.7670091427800658,2.6609578
TM4SF1,True,0.019358738553434153,2.207240388792393,3.7191339
WWTR1,True,0.27414681417093084,1.481164664819202,1.9738784
ANKUB1,True,0.656224844524478,1.522420690162947,1.6453707
P2RY14,True,0.400082648026514,1.1898729646570914,1.27149
P2RY13,True,0.03336168732458141,1.596101366229138,2.2501497
P2RY12,True,0.26516310883574656,2.23798970158823,3.7930453
SUCNR1,True,0.002326924925520831,1.4709126758898925,1.9492359
ARHGEF26-AS1,True,0.41781317969966564,1.4002865476830166,1.7984146
ARHGEF26,True,0.38043324387649424,1.5810285854911796,2.2510347
GPR149,True,0.1668247888645885,1.2684493766993072,1.4625784
PLCH1,True,0.6951636446952205,1.6781222616884202,1.981806
KCNAB1-AS2,True,0.0033930353896724987,1.2168115078052357,1.3384573
SMC4,True,0.11423549566683715,1.1768569831143492,1.2424194
TRIM59,True,0.3117254330584238,1.8101605048924674,2.8248343
